time,device,cpu,timestamp,str,dtype,fft,tstamp,host
02/21/23 12:45 PM,E6FEE52,,321,"  1,E6FEE52, 0.3653,-1.5579,-9.7045, 2.1259,-9.1132,-80.6396,638.5034,-666.4526,-952.5586,2424130493.0,IMU",1,0,2424130493,
02/21/23 12:45 PM,E6FEE52,,325,"  1,E6FEE52, 0.3669,-1.5530,-9.7045, 2.1368,-9.0857,-80.6671,638.5474,-666.3428,-952.6685,2424140454.0,IMU",1,0,2424140454,
02/21/23 12:45 PM,E6FEE52,,329,"  1,E6FEE52, 0.3702,-1.5571,-9.7029, 2.1588,-9.1132,-80.6396,638.6353,-666.4526,-952.5586,2424149829.0,IMU",1,0,2424149829,
02/21/23 12:45 PM,E6FEE52,,333,"  1,E6FEE52, 0.3677,-1.5554,-9.6996, 2.1478,-9.1022,-80.6506,638.5913,-666.4087,-952.6025,2424159204.0,IMU",1,0,2424159204,
02/21/23 12:45 PM,E6FEE52,,337,"  1,E6FEE52, 0.3677,-1.5563,-9.7029, 2.1423,-9.1077,-80.6451,638.5693,-666.4307,-952.5806,2424168579.0,IMU",1,0,2424168579,
02/21/23 12:45 PM,E6FEE52,,341,"  1,E6FEE52, 0.3661,-1.5587,-9.7037, 2.1368,-9.1187,-80.6342,638.5474,-666.4746,-952.5366,2424177954.0,IMU",1,0,2424177954,
02/21/23 12:45 PM,E6FEE52,,345,"  1,E6FEE52, 0.3669,-1.5546,-9.7021, 2.1368,-9.0967,-80.6561,638.5474,-666.3867,-952.6245,2424187329.0,IMU",1,0,2424187329,
02/21/23 12:45 PM,E6FEE52,,349,"  1,E6FEE52, 0.3677,-1.5571,-9.7021, 2.1423,-9.1132,-80.6396,638.5693,-666.4526,-952.5586,2424196704.0,IMU",1,0,2424196704,
02/21/23 12:45 PM,E6FEE52,,353,"  1,E6FEE52, 0.3677,-1.5530,-9.7029, 2.1478,-9.0912,-80.6616,638.5913,-666.3647,-952.6465,2424206079.0,IMU",1,0,2424206079,
02/21/23 12:45 PM,E6FEE52,,357,"  1,E6FEE52, 0.3661,-1.5554,-9.6996, 2.1313,-9.1077,-80.6506,638.5254,-666.4307,-952.6025,2424215454.0,IMU",1,0,2424215454,
02/21/23 12:45 PM,E6FEE52,,361,"  1,E6FEE52, 0.3685,-1.5571,-9.7004, 2.1478,-9.1132,-80.6396,638.5913,-666.4526,-952.5586,2424224829.0,IMU",1,0,2424224829,
